,sentence,neu_list,pos_list,neg_list
23,приятного вам вечера котятки,0.38492217659950256,0.14415885508060455,0.0
24,как вы считаете дружиский секс это нормально,0.6654205918312073,0.0,0.0
25,если у мужчины уже не вставляется писька что он делает,0.7431780099868774,0.0,0.0
26,чем вы запиваете и закусываете водку чем водка лучше виски,0.3923468291759491,0.0,0.0
27,как можно любить идеального человека за что,0.5078218579292297,0.546748161315918,0.0
28,тебе бы понравилось если парень пригласил тебя в дельфинарий чтоб поплавать с дельфинами,0.7826725244522095,0.0,0.0
29,как доказать что ты умный,0.5000100135803223,0.0,0.16886694729328156
30,я родился в москве,0.3415925204753876,0.6297846436500549,0.0
31,ой это где такое,0.9433575868606567,0.11921291798353195,0.0
32,foxysamhain вот тут голосищепрямух,0.9879562258720398,0.0,0.0
33,ф прятки с кем поиграть кушать охота,0.7663036584854126,0.0,0.0
34,любовь с первого взгляда-вам верится в такое,0.38492217659950256,0.38492217659950256,0.0
35,ты ничего не понимаешь,0.41490885615348816,0.0,0.538993239402771
36,я болен тобой что это значит как вы думаете,0.6442351341247559,0.0,0.21207880973815918
37,кто такие язычники и кто другие,0.9981998205184937,0.0229873675853014,0.0
38,о чем можно разговаривать с обьевшимся мужчиной,0.6992644667625427,0.056662432849407196,0.0
39,украинские каналы фотошоп разгоняют вовсю,0.6584275364875793,0.0,0.607673168182373
40,у вас видик остался или выкинули уже на помойку,0.8933194279670715,0.0,0.3629792034626007
41,прошел  с двух ног как только вышел на мсиай титане,0.6791887283325195,0.0,0.0
42,что для вас наивысшее счастье,0.027595279738307,0.9679093360900879,0.0
43,зачем тебе  доллар,0.9496793746948242,0.0,0.0
44,можно считать онанизм за измену,0.9715740084648132,0.0,0.10088862478733063
45,ты можешь задрать свою юбку,0.26285186409950256,0.0,0.0
46,шма рыбалка,0.9937201142311096,0.0,0.0
47,длинные волосы это красиво,0.6370407938957214,0.38492217659950256,0.0
48,в чем вам удобнее в юбке или брюках,0.8439050912857056,0.08270734548568726,0.0
49,давай поговорим обо мне,0.9344051480293274,0.06755668669939041,0.0
50,какие няшные вещи можно подарить ребенку,0.26285186409950256,0.839743971824646,0.0
51,чем отличается голый человек от обнаженного,0.11597072333097458,0.8175845146179199,0.0
52,вы верите в эффективность гомеопатии как к ней относитесь,0.9669240117073059,0.0,0.13297423720359802
53,это наследственный признак женскую хитрость и гибкость как ее развить,0.0,0.14034625887870789,0.7122421860694885
54,а пора бы спать,0.9362950325012207,0.0,0.0
55,и я маленький гномик см,0.0,0.5312193632125854,0.0
56,а что нужно делать на нервной почве,0.9553291201591492,0.0,0.12253321707248688
57,на чем задержится ваш взгляд если вы посмотрите на собеседника,0.9802908897399902,0.0,0.0
58,существует ли таблица по возрасту как часто надо заниматься сексом чтобы не истощать мужской организм,0.9124462008476257,0.0,0.20182321965694427
59,это ад что для вас это состояние,0.8634016513824463,0.0,0.33459946513175964
60,что лучше беговая дорожка эллиптический тренажер или велотренажер или греблевый тренажер для любви,0.5544804334640503,0.0,0.1732981950044632
61,а если виски не пью,1.0000100135803223,0.0,0.0
62,сердючка вражеская нескрепная,0.38492217659950256,0.08757384121417999,0.0
63,в чем прикол тогда,0.8991314172744751,0.09269777685403824,0.0
64,как можно бросить курить,0.982567548751831,0.0,0.0
65,каких людей нужно забывать мгновенно,0.9241518378257751,0.0,0.06561483442783356
66,что мы с вами будем делать если попадем в окружение,0.9732507467269897,0.0,0.07586817443370819
67,да просто познакомиться,0.9921941161155701,0.0,0.08270734548568726
68,главное другу случайно не подари,0.6442351341247559,0.0,0.0
69,как тебя наказать если изменишь,0.9937201142311096,0.0,0.02596735954284668
70,женя,0.9284188151359558,0.0,0.0
71,а вам понравился аватар если да то чем,0.523430347442627,0.12253321707248688,0.0
72,что делает вас для других людей опасным человеком,0.6584275364875793,0.0,0.1259327530860901
73,как на территории одного авто устроить праздник,0.9099169969558716,0.0,0.08757384121417999
74,а кто первой,1.0000100135803223,0.0,0.0
75,как бороться со стрессом,0.9399233460426331,0.0,0.0
76,блять ,0.0,0.0,1.0000100135803223
77,нарисуй кроссы,0.9994742274284363,0.0,0.0
78,о чем умалчивает детектор лжи,0.9496793746948242,0.0,0.08036746829748154
79,на что вы играете дома в карты или шахматы,0.9871888160705566,0.0,0.05501529201865196
80,как это относиться к жизни по философски,0.9875783920288086,0.0,0.03515484184026718
81,ктото выводит денежный поток,0.19194278120994568,0.0,0.0
82, благодаря чему человек становится сильнее,0.14034625887870789,0.0,0.14034625887870789
83,почему любовь болезнь а никто не лечится,0.14415885508060455,0.0,0.9073222279548645
84,подскажите молитву обряд чтоб не пересекаться не видеть нежелательного человека никогда,0.960371196269989,0.0,0.032110705971717834
85,как правильно бегать за женщинами задрав штаны или приспустив или как,0.6513648629188538,0.0,0.16452647745609283
86,ну не нравиться не ешь,0.8840492963790894,0.0,0.07808816432952881
87,потому что не даешь ему отдохнуть,0.0,0.0,0.9241518378257751
88,через какое время после бракосочетания женщина превращается в химеру,0.7879412174224854,0.0,0.0
89,как вы думаете в каких случаях необходимо задавать вопросы себе,0.9626831412315369,0.0,0.2814156115055084
90,что для вас значит быть счастливым,0.538993239402771,0.21207880973815918,0.0
91,ребят кто бы хотел со мной поболтать по агенту скучно так кошмар,0.2568419873714447,0.0,0.0
92,хай как ты,0.032110705971717834,0.0,0.0
93,по каким причинам нечистая сила может вселиться в человека,0.8670457601547241,0.0,0.0
94,как можно завязать повязку из наруто есть те кто ходят в ней по городу на вас не смотрят косо,0.8031837940216064,0.22816647589206696,0.0
95,https:youtubekdlxaqgaya,0.9732507467269897,0.0,0.0
96,вам нравится что вами не больны,0.44553956389427185,0.0,0.13297423720359802
97,подскажите где в москве можно сделать хорошее портфолио ребенку и сколько стоит,0.9124462008476257,0.11921291798353195,0.0
98,а ты чего еще не спишь calixxxto,0.9362950325012207,0.0,0.0
99,сисьадмин,0.7773098945617676,0.0,0.0
100,если мужчина расстался с девушкой зачем продолжаются звонки,0.44553956389427185,0.0,0.0
101,то что у вас сейчас в левой руке как называется,0.9073222279548645,0.0,0.0
102,саранча мигрирует на большие расстояния и усы у нее толще и короче,0.5078218579292297,0.0,0.2509227991104126
103,пустят ли на борт самолета со старинными монетами,0.9450047016143799,0.0,0.051855459809303284
104,подскажите какой прогой можно отключать питание у определенного usb порта,0.9924327731132507,0.0,0.07370626926422119
105,что значит подруга решила попробовать поцелуй со своим другом,0.754925012588501,0.0,0.0
106,девушки почему вы стервянеете когда к вам относятся как к людям,0.6370407938957214,0.0,0.4921981394290924
107,а на сколько реально вы хотите завести любовницу ка всем вопрос или все только довольствуются надеждой,0.7981967926025391,0.0,0.08510905504226685
108,в каком возрасте от вас ушла ваша молодость,0.6442351341247559,0.0,0.07370626926422119
109,может ли нервный стресс усугубить пневмонию или это вообще никак не связано,0.6654205918312073,0.0,0.7310686111450195
110,у тебя ж тоже выборы были единая россия ну как всегда а ты за кого голосовал,0.538993239402771,0.0,0.2814156115055084
111,игра уличных музыкантов это приобщение людей к искусству или скрытая форма попрошайничества или что еще,0.9219318628311157,0.0,0.11921291798353195
112,что такое бу диски с играми,0.9814634323120117,0.0,0.0
113,можно ли доверить личное путеводителю,0.7606606483459473,0.08270734548568726,0.0
114,на сколько близко подпустишь к себе человека которому ты интересен,0.8558611869812012,0.22271016240119934,0.0
115,что такое псориаз как он проявляется как лечить,0.6654205918312073,0.0,0.1824355274438858
116,посоветуйте какое-нибудь блюдо чтобы было соленым и нежирным,0.9481645226478577,0.0,0.0980893224477768
117,аллергия на тополиный пух что делать этот пух уже достал дышать тяжело нос забит слабость,0.15611489117145538,0.0,0.8634016513824463
118,ооо дувуй,0.0,0.0,0.07808816432952881
119,ну эт уже не важно у меня есть подруга веган есть фемка вот лесби нет еще,0.6513648629188538,0.1824355274438858,0.0
120,а что такое любовь,0.4765896201133728,0.6723417043685913,0.0
121,а ты чего вздыхаешь так тяжело,0.7606606483459473,0.0,0.0
122,есть ли жизнь после брака,0.9324633479118347,0.038476187735795975,0.0
123,нажми чтобы найти песню,0.9808859825134277,0.0,0.0
124,ну его молодняк слушает,0.22271016240119934,0.4843900501728058,0.0
125,что ты хранишь очень бережно,0.16027602553367615,0.5698626637458801,0.0
126,творец хорошего настроения вы сами или вам помогают,0.11280541121959686,0.0,0.13297423720359802
127,ахахахахаах,0.0,1.0000100135803223,0.0
128,чем отличаются марксизм и марксизм-ленинизм,0.5078218579292297,0.0,0.22271016240119934
129,зеленый лысый пацан разве женщина ,0.7931159734725952,0.0,0.0
130,я просто прокачивал клан а потом альянс на  человек в сложной геополитической обстановке лол,0.6791887283325195,0.0980893224477768,0.0
131,propose,0.9965265989303589,0.0019367348868399858,0.0
132,какими танцами лутчше заниматься,0.607673168182373,0.0,0.0
133,какой стиль музыки вы предпочитаете объясните почему и какая по вашему музыка будующего,0.8175845146179199,0.0,0.08270734548568726
134,а живу я в городе а вы,0.46102678775787354,0.0,0.0
135,вот если очень очень хочется то все веть можно да и диатеза можно не боятся,0.4301573634147644,0.0,0.16452647745609283
136,умеренный лейкоареоз что это,0.7248802781105042,0.0,0.08036746829748154
137,как бы уснуть,0.1520422399044037,0.0,0.4378334879875183
138,какими народными средствами можно избавиться от грибка на ступнях,0.38492217659950256,0.0,0.18714269995689392
139,что в вашем понимании жизнь,0.9399233460426331,0.11597072333097458,0.0
140,у людей всегда есть основания своей требовательности,0.9149109721183777,0.0,0.0
141,вы радуетесь тому чего у вас нет,0.6442351341247559,0.0,0.0
142,спать хочу,0.30736804008483887,0.04743587225675583,0.0
143,как часто надо менять стартеры к уф лампам,0.9896818399429321,0.0,0.1259327530860901
144,как правильно разбавлять спирт -воду в спирт или наоборот чтоб градус не ушел,0.5775054097175598,0.0,0.40734341740608215
145,ты веришь в хромотерапиюлечение светом и цветом,0.9099169969558716,0.19194278120994568,0.0
146,какой чай вы любите,0.9802908897399902,0.0,0.053413331508636475
147,как быть когда видишь что ты неприятен человеку,0.8311530351638794,0.18714269995689392,0.0
148,мне тоже я легла часов в пять утра,0.0,0.0,0.4225146472454071
149,почему бог не лечит панические атаки,0.2814156115055084,0.0,0.7879412174224854
150,мировоззрение мужа зависит от жены,0.8903042674064636,0.0,0.18714269995689392
151,какое блюдо с шиитаке самое вкусное из китайской кухни,0.09269777685403824,0.3007555902004242,0.0
152,как стать самым счастливым,0.040855713188648224,0.38492217659950256,0.0
153,а чего у вас больше желаний или возможностей,0.9466066956520081,0.0,0.0
154,вы бы хотели жить в ссср,0.9046605229377747,0.0,0.3140605390071869
155,как называется программа в которой наводишь на текст камерой и она его переводит,0.6791887283325195,0.0,0.14034625887870789
156,прочитала мастер и маргариту какие у вас версии о чем книга что хотел сказать автор,0.8439050912857056,0.0,0.0
157,вот вотно! многих это пугает такие походу и спят в плащах,0.6584275364875793,0.0,0.0
158,что такое салидарность,0.4921981394290924,0.0,0.22816647589206696
159,с чего начать,1.0000100135803223,0.0,0.001108730910345912
160,maxflexkakoito кстати роцк,0.6150978803634644,0.0,0.0
161,как вы думаете ссср был тюрьмой для народов или нет или тюрьма для народов это западные калонии,0.5078218579292297,0.0,0.7057950496673584
162,можно ли сделать поддельную карту прививок в другом городе,0.8311530351638794,0.0,0.06372499465942383
163,а как вы относитесь к цыганам,0.9046605229377747,0.0,0.0
164,прибухнул бы и норм,0.5078218579292297,0.0,0.0
165,как достичь совершенства,0.9511522054672241,0.0,0.05835584178566933
166,вы себя считаете каким человеком,0.7431780099868774,0.0,0.1520422399044037
167,куда вы бы побежали ка бы на вас бомбы повалились,0.6297846436500549,0.0,0.0
168,до каких пор женщины будут носить мини-юбки,0.59267657995224,0.0,0.0
169,что можно сделать с мороженой мексиканской смесью оч надо,0.9615437984466553,0.11280541121959686,0.0
170,что первичнее мысль или материя,0.9241518378257751,0.0,0.12253321707248688
171,тож ща пойду,0.9939124584197998,0.0,0.0
172,если сначала учится играть на обыкновенной гитаре то я потом смогу самостоятельно перейти на электрическую или нет,0.7122421860694885,0.1968362182378769,0.0
173,у меня на комаров аллергия и все,0.7310686111450195,0.0,0.1778208613395691
174,а почему мужчины жадные такие а щедрые бывают в красной книге,0.20182321965694427,0.22816647589206696,0.0
175,а почему вы молчите о своих грехах,0.44553956389427185,0.0,0.3557848632335663
176,а поточнее,0.9777238368988037,0.0,0.014513582922518253
177,могут ли маги иметь влажные ладони,0.5544804334640503,0.0,0.0
178,чет походу тут одни школьники собрались скока мона про школу,0.8519628047943115,0.0,0.0
179,с вертушечки ткскзт,0.8634016513824463,0.0695517510175705,0.0
180,а ты не долго ломался,0.7122421860694885,0.0,0.21207880973815918
181,можно ли обменять телефон,0.9947898983955383,0.0,0.01323282066732645
182,ну вот буквально нахуй послала меня,0.0,0.0,0.8221991658210754
183,только контора военкомата в аду,0.4921981394290924,0.0,0.1778208613395691
184,да нет же,0.9566442370414734,0.0,0.754925012588501
185,ты знаешь язык армянского народа,0.9073222279548645,0.0,0.0
186,как получить всеобщее одобрение,0.7122421860694885,0.24509501457214355,0.0
187,чего вам в жизни не хватает,0.839743971824646,0.0,0.3415925204753876
188,мы тебя тоже будем так называть,0.8991314172744751,0.0,0.053413331508636475
189,как твои дела там,0.4301573634147644,0.0,0.0
190,как вам мода на лосины,0.9990094900131226,0.0,0.007587242405861616
191,нажми чтобы найти песню,0.9808859825134277,0.0,0.0
192,родившись человеком довольно сложно жить по специальности,0.2568419873714447,0.2509227991104126,0.0
193,можно ли верить гадалкам,0.7879412174224854,0.0,0.12253321707248688
194,скрытность-это достоинство или порок,0.9511522054672241,0.0,0.44553956389427185
195,что делать если боишься летать,0.9855064153671265,0.0,0.0
196,но сейчас я хочу общаться именно с elezarasm,0.4225146472454071,0.5775054097175598,0.0
197,бескорыстного действия человек и любое другое существо не в состоянии совершить,0.6723417043685913,0.0,0.5000100135803223
198,как сделать чтобы тело было видно четко а сзади все как будто розмыто я знаю есть такое на дорогих фотоапаратах,0.7931159734725952,0.0,0.0
199,оказывают ли мысли какое-то влияние на нашу жизнь или это просто фантазии,0.7248802781105042,0.0,0.5156299471855164
200,ты даже ножки не кинула,0.46102678775787354,0.0,0.0
201,как вы отличаете любовь от влюбленности,0.09269777685403824,0.4378334879875183,0.0
202,почему галкин не стареет,0.3702353835105896,0.0,0.8774868249893188
203,а если тя трахнуть и тебе не понравится ты об этом скажешь напрямую или тупо рожу скривишь,0.23371636867523193,0.0,0.0
204,а вы тоже боитесь за границу ехать,0.9539760947227478,0.0,0.0
205,почему после второй рюмки не бывает некрасивых женщин или мужчин,0.4765896201133728,0.0,0.0
206,в каких ситуациях можна почувствовать адреналин,0.9362950325012207,0.0,0.0
207,как приобрести пневматический пистолет какие нужны документы,0.9525841474533081,0.0,0.11921291798353195
208,как удалить ненужную фотографию,0.9553291201591492,0.0,0.19194278120994568
209,что ты думаешь о науке,0.8354935646057129,0.0,0.0
210,так сколько шагов от любви до ненависти,0.15611489117145538,0.0,0.6654205918312073
211,у вас есть какая-нибудь собственная теория которой вы более менее постоянно придерживаетесь,0.8479777574539185,0.0,0.11597072333097458
212,какую валюту стоит покупать,0.9046605229377747,0.0,0.1732981950044632
213,ну фиг знает,0.3998216390609741,0.0,0.0
214,почему некоторых мужчин так волнует первенство своей женщины,0.46102678775787354,0.0,0.3007555902004242
215,и вам доброго,0.14034625887870789,0.0,0.0
216,сильный характер у женщины это награда или наказание,0.5621865391731262,0.0,0.0
217,это народная мудрость,0.5544804334640503,0.0,0.523430347442627
218,ну ладно сама разберешься,0.607673168182373,0.0,0.08270734548568726
219,мужчина с каких игр лучше всего начинать с тобой,0.287777841091156,0.0,0.0
220,почему глупые люди так любят обсуждать чейто ум,0.607673168182373,0.0,0.4921981394290924
221,от вас больше проблем или пользы,0.6859594583511353,0.0,0.29422497749328613
222,душнила а где шлюх,0.26285186409950256,0.0,0.771853506565094
223,а че ты таскаешь всегда с собой,0.6791887283325195,0.0,0.0
224,привет илюша !,0.0,0.0,0.0
225,где она,0.9994215965270996,0.002482622629031539,0.0
226,ущипнуть,0.8080772161483765,0.0,0.19194278120994568
227,если вас поторопить далеко убежите,0.9263137578964233,0.0,0.26285186409950256
228,что такое романтика по вашему мнению и что для вас романтично,0.8175845146179199,0.3557848632335663,0.0
229,pollihloby поля харе спать!!!,0.46102678775787354,0.0,0.0
230,почему не открывается почтовый ящик требует авторизации,0.8175845146179199,0.0,0.3557848632335663
231,в какие страны я могу поехать с водительским удостоверением нового образца,0.4688006341457367,0.26285186409950256,0.0
232,почему люди лишь в старости лет в здравом уме и хорошей памяти становятся духовно развитыми,0.0,0.0,0.4843900501728058
233,ничего интересного просто прошлые обиды дядьки в возрасте ведущего себя как подросток с юношеским максимализмом долбоебизмом в голове,0.18714269995689392,0.0,0.7490972280502319
234,ну да ты не знал что я кавказец и живу в дагестане,0.0,0.0,0.538993239402771
235,я люблю всякое соль гель и т д,0.0,0.287777841091156,0.0
236,какие овощи добавить в летний салат,0.8933194279670715,0.0,0.09269777685403824
237,куда бы вы хотели попасть но стесняетесь,0.3140605390071869,0.0,0.24509501457214355
238,ужас,0.8175845146179199,0.0,0.9963027834892273
239,расскажи что-нибудь,0.9987257122993469,0.0,0.0
240,так все таки кто бог мужчина или женщина,0.7122421860694885,0.0,0.0
241,что можно приготовить только из яиц,0.4225146472454071,0.30736804008483887,0.0
242,может ли от обезвоживания менятся окрас листьев,0.6297846436500549,0.15611489117145538,0.0
243,вовсе нету меня простая работакстати а кем ты трудишься,0.0,0.24509501457214355,0.41490885615348816
244,что чаще происходит в влюбленными радость или печаль,0.0,0.0,0.3923468291759491
245,а ну если я начну танцевать придется им стать,0.6859594583511353,0.0,0.0
246,вот зачем раньше женились если секса все равно не было,0.8175845146179199,0.0,0.0
247,не моя тема,0.9304682612419128,0.0,0.0
248,возможна ли третья мировая война,0.4378334879875183,0.0,0.0
249,ну типа пелща найду этот войс,0.4532718360424042,0.0,0.0
250,не то что некоторые,0.6297846436500549,0.0,0.5621865391731262
251,а когда др,0.7310686111450195,0.010662510991096497,0.0
252,что укрепляет силу духа,0.0,0.09535945951938629,0.0
253,подскажите подарок на новый год что можно подарить маме на новый год,0.8740872144699097,0.3775506913661957,0.0
254,расскажи что ты можешь делать,0.9841036200523376,0.0,0.0
255,правда ли что все жены командуют своими мужьями,0.3415925204753876,0.0,0.0
256,как флиртовать с парнями,0.8354935646057129,0.0,0.08270734548568726
257,как в интернете заработать реально,0.7663036584854126,0.09535945951938629,0.0
258,а это правда что раньше аэродромы были в сельских областных центрах и тп,0.6513648629188538,0.0,0.0
259,знаете почему бог не принимает славы от человеков,0.1778208613395691,0.0,0.41490885615348816
260,норм а что именно,0.9908843636512756,0.02369946800172329,0.0
261,как твое утро,0.09010298550128937,0.0,0.0
262,почему в отношениях один всегда любит больше,0.1732981950044632,0.0,0.348655104637146
263,а где это,0.9990700483322144,0.0,0.02596735954284668
264,аида да кстати тоже заметил неравнодушна к тебе,0.4378334879875183,0.0,0.0
265,почему блондинки считаються глупыми и кто это придумал,0.5312193632125854,0.0,0.3629792034626007
266,шо там ожила берлога  или все по старому ,0.4532718360424042,0.0,0.0
267,в этом особенность человека: на каждый вопрос давать десятки противоположных ответов и утверждать что каждый из них правилен,0.9073222279548645,0.0,0.0
268,ага занимается наверное фигурой,0.585111141204834,0.0,0.0
269,одинокие женщины одинокие мужчины так может им так хорошо чего вы достаете их зависть,0.0,0.0,0.4225146472454071
270,почему с меня берут налоги если меня нету в базе данных единого государственного реестра налогоплательщиков,0.538993239402771,0.0,0.3629792034626007
271,чувств,0.9947898983955383,0.0,0.0
272,а че мне пофиг,0.21207880973815918,0.0,0.0
273,если жена мужа за непослушание будет лупить скалкой до чего это доведет,0.7879412174224854,0.0,0.0
274,более половины земного шара голубого цвета а это с орентацией человечества не связано,0.9073222279548645,0.0,0.0
275,приветище! как оно,0.0,0.0,0.1097157895565033
276,а вы часто ездите на сэкономленном,0.9755869507789612,0.0,0.042097724974155426
277,что более ценно первая любовь или последняя,0.9381340146064758,0.4378334879875183,0.0
278,приходится ли вам напоминать мужу что зарплату нужно оставлять дома,0.9511522054672241,0.0,0.0
279,вопрос к девушкамженщинам а тут есть незамужние а что вы тут делаете,0.9149109721183777,0.0,0.0
280,где в москве можно поесть вкусные пельмени и вареники кафе рестораны,0.9579222798347473,0.21207880973815918,0.0
281,вы верете в ангелов,0.9706977605819702,0.0,0.0
282,меня не одолеет типичный манябоец нужно быть уровнем так на  посерьезнее,0.0,0.23371636867523193,0.4765896201133728
283,а у вас что,0.9971204400062561,0.0,0.0
284,а если в сейфе места не хватает куда складывать,0.9883227348327637,0.0,0.0
285,что значит бояться бога,0.9566442370414734,0.0,0.0
286,а что будет если не забирать заказ орифлейм штраф не платить подадут в суд и что,0.8311530351638794,0.0,0.4921981394290924
287,я про это и говорю ты жив остался,0.5698626637458801,0.0,0.3276783227920532
288,почему у одной правды так много разных точек зрения,0.7122421860694885,0.0,0.275139719247818
289,когда вам плохо на душе чем вы успокаиваетесь,0.4301573634147644,0.0,0.24509501457214355
290,а почему российские женщины несравненно лучше например китайских или французских в чем тут дело,0.6859594583511353,0.0,0.20182321965694427
291,где слушать музыку в интернете ,0.9883227348327637,0.053413331508636475,0.0
292,в чем заключается основная цель массового спорта,0.287777841091156,0.0,0.0
293,что можно продать что бы на вырученные деньги купить диплом,0.8670457601547241,0.07370626926422119,0.0
294,интересуешься,0.9994572401046753,0.03309597820043564,0.0
295,почему твердят кино богомол новые серии хотя идет полный повтор,0.771853506565094,0.0,0.22816647589206696
296,вы полагаете это будет носиться,0.9802908897399902,0.0,0.0
297,что будете делать если ветер порвет ваш парус,0.880807101726532,0.0,0.0
298,какие книги вы читаете,0.9972090721130371,0.0,0.0
299,я видел дедка на просторах ютуба так он залпом выпил  бутылки водки,0.41490885615348816,0.0,0.0
300,белая пачка с соком  маркетинговый ход,0.523430347442627,0.0,0.0
301,шаг переехать в норвегию,0.839743971824646,0.15611489117145538,0.0
302,могут ли пандиты стать миротворцами см внизу,0.7606606483459473,0.0,0.0
303,когда можно слышать стук собственного сердца,0.771853506565094,0.4921981394290924,0.0
304,как правильно заходить в метро,0.7879412174224854,0.0,0.0
305,вот и иди дрыхни,0.8670457601547241,0.0,0.06372499465942383
306,как избавиться от мошек которые появляются из-за комнатных растений,0.6224693655967712,0.0,0.1732981950044632
307,а вы что кушаете на завтрак,0.9659096002578735,0.0,0.0
308,ну штош пятница пьешь,0.0,0.0,0.14415885508060455
309,если парень метис есть русская китайская якутская кровь исповедует ислам то на девушке какой нации может жениться,0.8903042674064636,0.0,0.0
310,пусть прошлое останется в прошлом или,0.9770326614379883,0.0,0.20690405368804932
311,как же потомство,0.5544804334640503,0.0,0.5312193632125854
312,что есть знание,0.9969346523284912,0.0,0.0
313,правильно зачем побираться у нищих,0.9073222279548645,0.0,0.1520422399044037
314,примерхоть и не самый удачный,0.16027602553367615,0.40734341740608215,0.0
315,у всех нас есть такой сосед,0.33459946513175964,0.0,0.0
316,что делать если пачки денег снизу гнить начинают,0.7248802781105042,0.0,0.0
317,дамы и господа здравствуйте в сексе вы сомелье или банальные алкоголики,0.754925012588501,0.0,0.287777841091156
318,насколько полон ваш стакан,0.30736804008483887,0.0,0.0
319,у вас там тоже неожиданно подкралась зима,0.607673168182373,0.0,0.0
320,что такое врачебная дипломатия,0.20690405368804932,0.585111141204834,0.0
321,у какого хозяина предприятия лучше работать с точки зрения оплаты труда у скупого или щедрого,0.3276783227920532,0.0,0.26285186409950256
322,на какие виды лечения вы бы не согласились даже под страхом смерти,0.7931159734725952,0.0,0.287777841091156
323,мой дедушка,0.15611489117145538,0.0,0.0
324,почему считается что много думать вредно,0.3702353835105896,0.0,0.6992644667625427
325,какие комнатные растения обозначают любовь или талисман любви,0.7981967926025391,0.0,0.061885979026556015
326,в чем вы всегда проигрываете,0.9149109721183777,0.0,0.1067005917429924
327,какой марки ваш автомобиль и куда на нем ездите и храните где,0.9659096002578735,0.0,0.12253321707248688
328,как у вас дела,0.9173126816749573,0.0,0.0
329,здравствуйте,0.9173126816749573,0.0,0.0
330,как научиться не опаздывать,0.7371681928634644,0.0,0.546748161315918
331,какими языкми кроме php можно написать скрипт для голосования на сайте,0.960371196269989,0.0,0.0
332,чего в гч не сидите,0.9362950325012207,0.0,0.38492217659950256
333,я вот че спросить хотел девоньки вы с гипертониками не связываетесь,0.8519628047943115,0.0,0.21207880973815918
334,как часто вы покупаете косметику,0.5621865391731262,0.0,0.0
335,сколько часов в неделю работает учитель по рисованию какая у них нагруженность по часам,0.8221991658210754,0.0,0.2509227991104126
336,женщина вот ты понимаешь что отношения с мужчиной уже не приносят тебе радости что делать будешь,0.2509227991104126,0.0,0.0
337,какой талант вам спать мешает,0.7371681928634644,0.0,0.06561483442783356
338,кто такие некрофилы,0.9219318628311157,0.4225146472454071,0.0
339,как мне перестать бояться,0.812877357006073,0.13661839067935944,0.0
340,с такимито успехами,0.13297423720359802,0.0,0.0
341,ребят всем пока ! хорошего и приятного обьщения всем,0.0,0.348655104637146,0.0
342,если женщине навесить сережки с камешками то слушать она будет лучше,0.4921981394290924,0.0,0.0
343,украина,0.9496793746948242,0.0,0.01206377986818552
344,можно ли будучи замужем рассчитывать на долгосрочные отношения с мужчиной,0.538993239402771,0.0,0.08757384121417999
345,хотел те селфу скинуть но ты чот злая какаято,0.0,0.0,0.7371681928634644
346,нету образования вообще а работаю зам директора :,0.7490972280502319,0.0,0.23371636867523193
347,не трать время баны всей шайке сразу,0.4301573634147644,0.0,0.7248802781105042
348,почему у тебя нет другой одежды,0.8031837940216064,0.0,0.4225146472454071
349,что вы хотите дать человечеству а можете,0.9886782765388489,0.0,0.08270734548568726
350,так уж и быть,0.9960646033287048,0.0,0.0
