,sentence,neu_list,pos_list,neg_list
44,можно и за измену если дрочишь в разные руки,0.9362950325012207,0.0,0.1067005917429924
45,я всегда рядом,0.20182321965694427,0.7931159734725952,0.0
46, рыбалка очень жаль ничего не поймали в этот разэнергии осталось:,0.771853506565094,0.0,0.5775054097175598
47,на любителя я предпочитаю эти напитки отдельно,0.5775054097175598,0.12253321707248688,0.0
48,что то уже и не то и не другое не нравится,0.3140605390071869,0.0,0.320831298828125
49,о чем будет разговор,0.9980222582817078,0.0,0.08757384121417999
50,комп детский будет рад,0.8175845146179199,0.1824355274438858,0.0
51,есть порнография есть эротика много учиться надо и происхождение иметь,0.9777238368988037,0.0,0.0
52,плацебо оно и есть плацебо,0.06372499465942383,0.0,0.0
53,по наследству это точно не передаетсяразвить можно с помощью асоциаций,0.9241518378257751,0.0,0.19194278120994568
54,классный мальчуган,0.0,0.9679093360900879,0.0
55,ага помню я на целую голову выше,0.4921981394290924,0.0,0.0
56,для начала невеста которая в последствии станет женой,0.8991314172744751,0.18714269995689392,0.0
57,если ты любишь на самотек все равно не получится сердце не отпустит,0.6584275364875793,0.08757384121417999,0.0
58,мне кажется таблицы нет может просто рекомендации,0.9732507467269897,0.0,0.10375863313674927
59,для меня завтра это то до чего еще нужно дожить,0.9553291201591492,0.0,0.1824355274438858
60,гребной для фигуры просто класс будет,0.5312193632125854,0.6859594583511353,0.0
61,там двое на вине,0.16027602553367615,0.0,0.0
62,соседи вызовут на меня ментов,0.6513648629188538,0.0,0.0
63,прикол ничего не помнитьь,0.8596737384796143,0.24509501457214355,0.0
64,спортивную для тебя можно типо мешок или как дорожная сумка на плечо но поменьше,0.3140605390071869,0.16027602553367615,0.0
65,у таких как я высокомерных не терпящих возражений нарциссов,0.8175845146179199,0.0,0.0
66,никогда и не смотрел на юпупе иногда обзоры или стримы но уж как нибудь обойдусь,0.38492217659950256,0.0,0.3140605390071869
67,пообщаться можно да,0.9173126816749573,0.16027602553367615,0.0
68,главное другу случайно не подари,0.6442351341247559,0.0,0.0
69,когда эмоции впереди разума да такие темпераментные сделают потом подумают,0.7371681928634644,0.16886694729328156,0.0
70,а меня павел,0.59267657995224,0.0,0.0
71,улыбки и хорошее настроение причем в неограниченных количествах улыбаюсь,0.06755668669939041,0.9046605229377747,0.0
72,секс после духовного прелюдия,0.812877357006073,0.0,0.0
73,праздник можно устроить где угодно если есть с кем,0.7773098945617676,0.0,0.0
74,я так не думаю,0.9263137578964233,0.0,0.0
75,найти бабу и заняться спортом что бы появилась увереность,0.8706072568893433,0.053413331508636475,0.0
76,блядьпиши правильно!,0.0,0.16452647745609283,0.24509501457214355
77,хахахх что за,0.0,0.23371636867523193,0.0
78,слушать тоже надо уметь,0.9845854640007019,0.0,0.0
79,отчеты дебит кредит я бухгалтер,0.0,0.0,0.7826725244522095
80,решить жизненные проблемы мешающие организму отдыхать,0.0,0.23935934901237488,0.23371636867523193
81,ну значит кому то бабло нужно было помыть вот и делают,0.7490972280502319,0.0,0.2509227991104126
82,никогда совершенная любовь это самое светлое чувство на которое способен человек умничаю,0.1259327530860901,0.8175845146179199,0.0
83,появится обязательно шанс и не один,0.9808859825134277,0.06755668669939041,0.0
84,значит надо сменить а седло б велик в жопу смотря что тебе проще,0.6859594583511353,0.0,0.16886694729328156
85,да уж сиди в штанах коли толку нету,0.0,0.0,0.5544804334640503
86,мне тоже п на тебя,0.2509227991104126,0.0,0.11921291798353195
87,ну два раза в сутки нихуя ему не станет переварит,0.0,0.0,0.7879412174224854
88,когда семья превратится в брак,0.5156299471855164,0.0,0.1968362182378769
89,скучно же поэтому и слушаю яс музыкой веселее,0.3775506913661957,0.0,0.0
90,развлечение общение интрига,0.9496793746948242,0.0,0.21734751760959625
91,что совсем скучно и по телевизору ничего интересного может на улице прогуляться знакомых встретить,0.4378334879875183,0.0,0.3276783227920532
92,все супер! у самой как,0.0,0.5544804334640503,0.0
93,если у мужчины эта слабость то ни к чему хорошему если у женщины-то это ее изюменка,0.23371636867523193,0.0,0.0
94,если это какие-нибудь бабульки то возможно и будут смотреть косо,0.8774868249893188,0.0,0.0
95,та все права отдавай,0.839743971824646,0.05835584178566933,0.0
96,обожаю готовить для любимого мужчины для себя нет,0.1067005917429924,0.8221991658210754,0.0
97,ну в столице студий много в инете можно посмотреть и портфолио студий и расценки,0.5775054097175598,0.0,0.0
98,не устала надо было побегать что ли энергию выбросить вчера на лодке гребла потом спала хорошо а сегодня не спится,0.0,0.0,0.2814156115055084
99,главное чтоб в свитере,0.9982553720474243,0.0,0.0
100,если вам больно то блокируйте его сами! и советую не держаться за ниточку этих сообщений и не придумывать себе того чего нет! у мужчин все гораздо проще!,0.3775506913661957,0.0,0.4843900501728058
101,счастье это когда есть кого любить что делать и на что надеяться,0.3998216390609741,0.44553956389427185,0.0
102,так второе отличие усы,0.4225146472454071,0.3702353835105896,0.0
103,вывозишь антиквариат контрабандистка,0.9783946871757507,0.0,0.03515484184026718
104,нет такой можно отключить только все сразу,0.3775506913661957,0.0,0.6001983880996704
105,когда я училась в школе то в страшимых классах мы так и развлекались с друзьями- подругами ну что поделаешь: возраст такой гормоны играют любопытно и интересно,0.22816647589206696,0.4532718360424042,0.0
106,ой не надо к нам как к людям лучше как к женщинам,0.4301573634147644,0.0,0.0
107,уж если заводить то надолго,0.839743971824646,0.0,0.0
108,молодость продолжается я люблю и значит я живу,0.0,0.9124462008476257,0.0
109,стресс любое заболевание может усугубить,0.46102678775787354,0.0,0.546748161315918
110,это заранее понятно быломоя гражданская позиция кандидатов накуй,0.839743971824646,0.0,0.1778208613395691
111,многие так дерьмово играют что хочется заказать им исполнить минуту тишины,0.7490972280502319,0.0,0.3923468291759491
112,устройство чаще электромеханическое предназназначенное для осуществления контакта,0.9219318628311157,0.0,0.09535945951938629
113,древние греки ни кому не доверяли вот и появилось все свое ношу с собой,0.6224693655967712,0.0,0.1294127255678177
114,на столько на сколько взаимный интерес,0.3007555902004242,0.46102678775787354,0.0
115,обратитесь к дерматологу болезнь коварная,0.523430347442627,0.0,0.3415925204753876
116,корейская морковка майонез курица и репчатый лук вкусняка,0.6584275364875793,0.0,0.0
117,антигистамины внутрь ежедневно очки на глаза мокрую марлю на окна мокрый платочек у носа,0.3923468291759491,0.0,0.0
118,язык необычный очень а еще мне рассказывали что у вас очень красиво,0.4378334879875183,0.4765896201133728,0.0
119,я феминистка и би сойдет,0.8670457601547241,0.0,0.275139719247818
120,вторжение другой страны с целью захвата территории,0.9908843636512756,0.0,0.04337579756975174
121,прост,0.9991269707679749,0.0,0.0016078451881185174
122,конечно человек может быть умный в науке и дурак в жизни а друг наоборот,0.0,0.0,0.2689514458179474
123,polly,0.9994572401046753,0.0016078451881185174,0.0
124,а должны питухи на зоне,0.9845854640007019,0.0,0.0
125,внука или внучку,0.9991269707679749,0.0,0.38492217659950256
126,скорее я помогаю но иногда и помощь друзей требуется,0.8962613940238953,0.0,0.09010298550128937
127,а потом полезешь куничку делать и вах,0.8872146010398865,0.0,0.14034625887870789
128,то что шкаф не может бошку в землю от страха воткнуть,0.0,0.0,0.6001983880996704
129,это же бэби йода :,0.754925012588501,0.0,0.0
130,у тебя ктонибудь из знакомых остался с линейки,0.9579222798347473,0.0,0.03515484184026718
131,нельзя заключить брак с ботом :,0.7606606483459473,0.0,0.0
132,переслушивать свою огромную коллекцию музыки и нянчить внуков,0.7057950496673584,0.0980893224477768,0.0
133,рок и метал будущее покажет но рок уже вне времени у него всегда есть будущее,0.9304682612419128,0.0,0.0
134,мои замечательно чем занимаетесь,0.14415885508060455,0.8596737384796143,0.0
135,сижу в ответах совершая нехрен,0.7431780099868774,0.0,0.14415885508060455
136,наверное не лейкоареоз а лекоцитоз тогда это реакция организма на воспаление,0.8354935646057129,0.0,0.3276783227920532
137,под замечательные песни,0.6992644667625427,0.8519628047943115,0.0
138,хозяйственным мылом намазать и не смывать,0.9219318628311157,0.0,0.14034625887870789
139,свобода и уверенность в себе радость каждому дню любовь и уважение друзей,0.20182321965694427,0.59267657995224,0.0
140,нет не всегда у многих это просто бзик и дурость,0.0,0.0,0.8479777574539185
141,от таких красивых девушек как ты,0.348655104637146,0.320831298828125,0.0
142,поспи на лекции,0.9967369437217712,0.005564924795180559,0.0
143,как только сгорят так прямо сразу,0.8706072568893433,0.0,0.1259327530860901
144,спирт пить только чистый и запивать,0.754925012588501,0.0,0.1824355274438858
145,когда врачи разводят руками и говорят что вылечить не могут то поверишь во все что угодно,0.5621865391731262,0.0,0.46102678775787354
146,а достичь невозможно взаимность или есть или ее нет,0.771853506565094,0.0,0.3629792034626007
147,если речь идет не о близких которые относятся к нам бескорыстно и делают все для нашего блага то нужно помнить что все люди в той или иной степени эгоистичны и их поведение продиктовано желанием поиметь какую - то выгоду для себя не обязательно материальную это может быть и моральное удовлетворение от совершения доброго поступка в этом нет ничего ужасного как говорится се ля ви,0.4378334879875183,0.0,0.3629792034626007
148,или почитать,0.9553291201591492,0.0,0.12253321707248688
149,я рожден русским в основном выдающиеся музыканты по их же мнению из выдающейся нации,0.44553956389427185,0.07586817443370819,0.0
150,если она его любит она делит с ним все и горе и радость и мировоззрение,0.0,0.6150978803634644,0.287777841091156
151,мне нравится цыпленок с побегами бамбука и шиитаке в устричном соусе,0.0,0.40734341740608215,0.0
152,лучше купить трикотажную майку,0.9073222279548645,0.0,0.0
153,люблю кофе с молоком но больше чай крепкий свежезаваренный с сахаром,0.13297423720359802,0.1968362182378769,0.0
154,жила я там стабильность точно была но вот остальное возвращать никак не хотелось бы,0.0,0.0,0.3998216390609741
155,это только проект такой программы,0.9748311638832092,0.0,0.032110705971717834
156,в общем автобиографическая книга правда написана по заказу сталина он там воланд,0.983095109462738,0.0,0.05034062638878822
157,сколько тебе лет,0.1824355274438858,0.0,0.0
158,что то связанное с салом а солидарность-это сплоченность идей и людей,0.6654205918312073,0.0,0.23371636867523193
159,с конца попробуй может доберешься до начала,0.91965252161026,0.0,0.0
160,я послушал,1.0000100135803223,0.0010105045512318611,0.0
161,ссср был территорией дружбы народов а вот насчет колоний это правильно сказано,0.3557848632335663,0.0,0.22816647589206696
162,только не забудьте обязательно заземлить машину заземленная батарея то рядом,0.5312193632125854,0.0,0.3629792034626007
163,сначала вылечить дисбактериоз пить эхинацею ходить в бассейн с сауной закаляться,0.7310686111450195,0.0,0.0
164,он не курит,1.0000100135803223,0.0,0.0
165,стать геем невозможно если тебе нравятся парни встает на парней ты гей,0.4378334879875183,0.0,0.0
166,нормальная змея змей кусается только тогда когда ее раздражают,0.41490885615348816,0.0,0.22816647589206696
167,если уже повалились то надо упасть на пол ближе к несущим стенам и ждать,0.839743971824646,0.0,0.3276783227920532
168,до тех пор пока мужчины не станут оценивать женщину только по ее ножкам,0.5544804334640503,0.0,0.0
169,отварить и добавить к гарниру или мясу,0.9820237755775452,0.0,0.2814156115055084
170,материя ведь мысль метериальна,0.839743971824646,0.0,0.03733688220381737
171,хош подстричься,0.6442351341247559,0.0,0.0
172,сможешь там надо уметь играть медиатором,0.8991314172744751,0.0,0.0
173,и у меня,0.6001983880996704,0.0,0.0
174,эгоисты любить не умеют потому-то они и жадные,0.0,0.0,0.9626831412315369
175,богу исповедуюсь регулярно,0.7371681928634644,0.21734751760959625,0.0
176,а кто его знает,0.9124462008476257,0.0,0.0
177,могут потому что ты личность а личностей оскорблять нельзя,0.1778208613395691,0.0,0.7431780099868774
178,ну так уч год начался в нашем полку пополнение теперь они здесь школьную прграмму изучают,0.8558611869812012,0.0,0.2814156115055084
179,видос после бана скинешь,0.9976868629455566,0.0,0.0
180,поверь мне такое пиздец редко бывает те повезло,0.0,0.1968362182378769,0.7879412174224854
181,угу ларечки есть обмен старого бу на новый или бу на другой бу,0.8031837940216064,0.0,0.0
182,не обращай внимание,0.9996530413627625,0.0,0.0
183,оставь надежду всяк сюда входящий,0.9946250915527344,0.0,0.0
184,о чем тебе нравится говорить,0.6791887283325195,0.20182321965694427,0.0
185,интуиция подсказывает мне,0.9965265989303589,0.0,0.09269777685403824
186,нюхать ароматы и прислушиваться к ним описывать ассоциации,0.979677677154541,0.0,0.06561483442783356
187,с мыслями о том что надо вечером обязательно пораньше лечь спать,0.9688661694526672,0.0,0.0
188,а я говорила что не нравится,0.8439050912857056,0.2509227991104126,0.0
189,моя моя в порядке а королевскую завтра буду печь,0.3998216390609741,0.26285186409950256,0.0
190,я рада что они снова в моде мне кажется это очень стильно смотрится на стройных девушках,0.348655104637146,0.5544804334640503,0.0
191,polly го,0.960371196269989,0.031153826043009758,0.0
192,вот думаю а не пойти-ли мне в гробовщики нужная и востребованая профессия в наше подлое время,0.46102678775787354,0.0,0.30736804008483887
193,конечно и довести до ума тоже можно,0.5544804334640503,0.18714269995689392,0.0
194,если не граничит с замкнутостью и не отпугивает людей то однозначно достоинство,0.8479777574539185,0.0,0.3276783227920532
195,выйти замуж и расслабляться только сексом,0.23935934901237488,0.0,0.0
196,я сейчас растаю :,0.4765896201133728,0.0,0.0
197,все мы эгоисты в той или иной степени,0.538993239402771,0.0,0.6992644667625427
198,открыть полностью диафрагму а выдержку уже подбирать по ней,0.8706072568893433,0.0,0.3629792034626007
199,непосредственное мыслями мы создаем свое будущее,0.6723417043685913,0.0,0.1294127255678177
200,ну ты же кинул,0.8634016513824463,0.0,0.6584275364875793
201,никак или ты принимаешь мужчину полностью или выбираешь другого привет,0.771853506565094,0.0,0.1294127255678177
202,потому что так о нем говорит библия совершенное слово божье,0.21734751760959625,0.0,0.523430347442627
203,тогда я тя сама трахну или буш трахать пака не понравится ага,0.0,0.0,0.21207880973815918
204,я могу описать и квадратом,0.546748161315918,0.0,0.0
205,мужчина умнее женщина хитрее потому что женщине ум заменяет хитрость,0.0,0.0,0.275139719247818
206,боятся только мужчинки а мужчину настоящего думаю трудно испугать,0.16452647745609283,0.0,0.0
207,никаких свободная продажа,0.9952548146247864,0.0,0.028446035459637642
208,на своей странице в самом низу регламент и опять вниз отказаться от услуг,0.9450047016143799,0.0,0.1520422399044037
209,да собственно ничего а вы,0.6297846436500549,0.3702353835105896,0.0
210,востребованы очень все зависит от уровня их знаний и умений как и везде,0.0,0.0,0.2689514458179474
211,нет у меня только практика,0.8933194279670715,0.0,0.14034625887870789
212,я всегда стеснялась покупать водку и до сих пор никогда ее не покупаю приветуль вадь,0.0,0.0,0.3415925204753876
213,еще б набить,0.9973783493041992,0.0,0.09010298550128937
214,практически все мужчины любят чистоплотных женщин как и женщины любят чистоплотных мужчин просто многие мужчины не понимают что нужно быть чистоплотным для понравившейся девушки мол и так полюбят но некоторым не удается быть чистоплотным я всегда стараюсь быть чистоплотным но всегда чем-то пачкаюсь хочу ли запачкаться или нет поэтому наверное девушки обходят меня неженатого стороной,0.275139719247818,0.0,0.3415925204753876
215,спасибо,0.0,0.0,1.0000003385357559e-05
216,я думаю наказание потому что такие женщины чаще других бывают одинокими,0.2814156115055084,0.0,0.3415925204753876
217,гениальность - это способность создавать что-то принципиально новое,0.4688006341457367,0.348655104637146,0.0
218,ну да разберусь,0.4765896201133728,0.0,0.6150978803634644
219,можно и с настольных но лучше на скатерти чтобы спину не застудила,0.4378334879875183,0.0,0.10088862478733063
220,пхаха тебе тот же вопрос задам,0.23371636867523193,0.0,0.0
221,русые длинные классные,0.04743587225675583,0.9553291201591492,0.0
222,пхахаха вчера еще шлюхом был,0.0,0.6442351341247559,0.14415885508060455
223,сумку даже сплю с ней,0.4765896201133728,0.09535945951938629,0.0
224,алиночка приветульки,0.0,0.0,0.0
225,так их было на хате,0.7826725244522095,0.0,0.0
226,накроюсь ветошью и не буду отсвечивать бегаю я плохо,0.20182321965694427,0.0,0.2568419873714447
227,для управления и блокирования трафика для контроля доступа в интеренет,0.8903042674064636,0.0,0.14034625887870789
228,у меня первый час и я кушаласейчас спать пойду а чего надо соскучилась,0.41490885615348816,0.0,0.3415925204753876
229,если не принимает логин с паролем то очисти куки и запомненные пароли,0.8558611869812012,0.0,0.0
230,пока очень хочу в италию чехию и испанию,0.16886694729328156,0.3923468291759491,0.0
231,не все только те кто задумался и отважился стать человеком,0.7826725244522095,0.0,0.2689514458179474
232,на тебя ктото обиделся,0.1732981950044632,0.18714269995689392,0.0
233,а если путин скажет что дагестан это исконно русские земли и всю вашу культуру надо убирать то,0.7663036584854126,0.0,0.2509227991104126
234,ой ну соль это любовь прям,0.1824355274438858,0.3702353835105896,0.0
235,огурец помидор лук петрушка укроп заправить подсолнечным или майнезом,0.4843900501728058,0.0,0.3998216390609741
236,значит счастье не в деньгах,0.031153826043009758,0.9124462008476257,0.0
237,не так страшен черт как его малюют,0.0,0.0,0.7490972280502319
238,в недалеком будущем вас ждут успехи в том числе материальные,0.9019306898117065,0.0,0.09269777685403824
239,я атеистпривет корабельников,0.46102678775787354,0.0,0.0
240,только отварить в остальных блюдах нужно хотя бы маслоа еще можно пашот сделать,0.9046605229377747,0.0,0.20690405368804932
241,счастье - это состояние души если она у вас светлая - значит счастье есть,0.0,0.9481645226478577,0.0
242,ошибки исправляю,0.05501529201865196,0.0,0.0
243,сердце подскажет если ты жить не можешь без него без взгляда без улыбки влюблена,0.585111141204834,0.0,0.0
244,вот не было и опять,0.8175845146179199,0.0,0.23935934901237488
245,затем чтобы жить с любимым человеком а не ради того чтобы потрахаться,0.275139719247818,0.08510905504226685,0.0
246,давно надо было,0.9983615279197693,0.0,0.0229873675853014
247,вера в себя и вера в партнера и есть подавление ревности,0.9626831412315369,0.0,0.038476187735795975
248,можешь из репертуара кобзона спеть что нить,0.8080772161483765,0.0,0.0
249,красиво то что хорошо работает,0.0,0.9859463572502136,0.0
250,д дипломатия,0.6001983880996704,0.0,0.16886694729328156
251,ложусь и чувствую его в себе,0.30736804008483887,0.2509227991104126,0.0
252,медсестрой поваром официанткой,0.9790457487106323,0.0,0.0
253,у меня есть целый список команд - достаточно нажать на кнопку со знаком вопроса,0.8933194279670715,0.0,0.0
254,нет если муж ищет себе жену-маму то она конечно будет им командовать,0.7431780099868774,0.0,0.18714269995689392
255,подумайте о том с кем бы вы хотели встречаться обычно в средней школе подростки целуются со своими партнерами или во время игры на поцелуи как найти себе партнера,0.8267217874526978,0.0,0.0
256,это душа которая взяла на себя полную ответственность за свое развитие и живет осознанно,0.5078218579292297,0.13661839067935944,0.0
257,в селах нет а в областных городах были,0.8031837940216064,0.0,0.1968362182378769
258,к разговорам за стеной не люблю подслушивать,0.9149109721183777,0.0,0.0
259,виртуальность отняла у нас небо  шепчу яты тоже это понял конечно мир уходит в глубину в отражение реальности зачем летать к луне или марсу если здесь уже доступны любые планеты пропал азарт пропал интерес,0.523430347442627,0.0,0.3629792034626007
260,у меня уже почти обед,0.7248802781105042,0.0,0.2814156115055084
261,а когда всего хватает тогда уже неинтересно и не к чему стремиться,0.585111141204834,0.0,0.4921981394290924
262,на поверхности же светло,0.9539760947227478,0.034110426902770996,0.0
263,во а я о чем,0.9966334104537964,0.0,0.0
264,это придумали неудовлетворенные брюнетки однозначно,0.275139719247818,0.0,0.23935934901237488
265,я отовсюду вышла почти только сижу во втором их чате не буду название говорить а то атата сделают но там тоже перекати поле,0.4688006341457367,0.0,0.2689514458179474
266,а что такое человек,0.9566442370414734,0.1732981950044632,0.0
267,наверное,0.4532718360424042,0.0,0.18714269995689392
268,вполне может быть я вот тоже люблю одиночество но вот сложилось так что замужем и мужа люблю,0.0,0.4378334879875183,0.0
269,если у вас есть хоть что-нибудь налогооблагаемое вас записали в базу данных вот и приходят,0.9740526676177979,0.0,0.05034062638878822
270,чувствовать - значит жить,0.8991314172744751,0.0,0.0
271,да вот не спится,0.9679093360900879,0.0,0.0
272,до послушания или до развода,0.9939124584197998,0.0,0.10088862478733063
273,судя по всему пока традиционная ориентация лидирует так что думаю не связана ни коем образом,0.7122421860694885,0.0,0.287777841091156
274,как видишь,1.0000100135803223,0.0,0.0006363342981785536
275,пока не доведу девку до оргазма не теряю а паотом тоже не теряю просто кончаю,0.0,0.0,0.6654205918312073
276,забота о демографическом благополучии человеческого общества,0.9149109721183777,0.0,0.09535945951938629
277,не приходится потому что мы деньги на карточку кладем а дома только на небольшие расходы держим,0.91965252161026,0.0,0.1097157895565033
278,были но уже нет так как я стал атеистом,0.0,0.11280541121959686,0.7431780099868774
279,неплохие пельмени в старлайтах а вареники надо есть в корчмах тарас бульба,0.8962613940238953,0.0,0.0
280,верю в ангела-хранителя и если вы крещеный человек посоветую вам обращаться к нему мысленно,0.9511522054672241,0.0,0.0
281,кто знает сколько их приедет,0.5544804334640503,0.11280541121959686,0.0
282,просто вы пишете с точками я поэтому подумала что чтото случилось,0.5078218579292297,0.0,0.18714269995689392
283,приглашаю к себе в подвал только аккуратно смотрите с моими не перепутайте,0.6442351341247559,0.0,0.0
284,значит любить бога исполнять то что он повелел и для христиан это счастье и радость,0.09010298550128937,0.8311530351638794,0.0
285,если фильтр нормальный как брита то вторая очистка ничего не даст,0.6926519870758057,0.0,0.1824355274438858
286,та не грущу я,0.9802908897399902,0.0,0.0
287,у каждого наблюдателя своя точка зрения каждый имеет свой уникальный мир и систему критериев,0.6859594583511353,0.0,0.14805719256401062
288,алкоголь успокаивает,0.6370407938957214,0.0,0.4532718360424042
289,самые лучшие женщины славянки это аксиома,0.05034062638878822,0.8596737384796143,0.0
290,хорошую ненавижу русскую попсу стиль любой,0.0,0.1968362182378769,0.6224693655967712
291,увеличить массовость наверно,0.6584275364875793,0.0,0.523430347442627
292,да влюбом бутеке или на рынке в отделе очков,0.5078218579292297,0.21207880973815918,0.0
293,за кого ты меня принимаешь,0.6926519870758057,0.0,0.0
294,может потом будут новые серии,0.9841036200523376,0.02162533439695835,0.0
295,я полагаю что следует шить,0.7879412174224854,0.0,0.0
296,присесть и задуматься ведь мебель ему может и надоесть,0.0,0.0,0.44553956389427185
297,в основном мистические романы,0.9124462008476257,0.0,0.1732981950044632
298,это смертельно,0.0,0.23371636867523193,0.2509227991104126
299,кто первый тот и маркетолог,0.7490972280502319,0.11921291798353195,0.0
300,шаг найти бабушку,0.3415925204753876,0.0,0.0
301,старые проверенные друзья тоже когда-то были новыми,0.6297846436500549,0.0,0.15611489117145538
302,когда рядом с любимым ведь сердца любимых стучат в унисон,0.0229873675853014,0.9019306898117065,0.0
303,надо перестать пить ведь когда пьешь не дышишь,0.8962613940238953,0.0,0.29422497749328613
304,а шо это ты меня гонишь,0.0,0.21207880973815918,0.0
305,избавиться не проблема а вдруг оно еще понадобится,0.38492217659950256,0.0,0.5775054097175598
306,борщ с бутером хлеб масло квашеная капуста зеленый лук корейка,0.5544804334640503,0.0,0.0
307,нет сегодня не до этого,0.8740872144699097,0.0,0.23371636867523193
308,можно на представительнице любой нации только она должна будет принять ислам перед свадьбой,0.8558611869812012,0.16452647745609283,0.0
309,путь прошлое не тянет нас назад но всегда остается хорошим уроком,0.0,0.0,0.7122421860694885
310,а потомство это невесело,0.0,0.3775506913661957,0.538993239402771
311,уметь осуществить действие с прогнозируемым результатом,0.9481645226478577,0.0,0.04743587225675583
312,иди побирайся у кого сосешь правильно,0.9466066956520081,0.0,0.0
313,пошлить тоже надо уметь,0.880807101726532,0.0,0.771853506565094
314,я его сегодня простил только забыл почему,0.0,0.1294127255678177,0.6791887283325195
315,заменить на рюмку и следить чтоб была полной,0.9511522054672241,0.042097724974155426,0.0
316,трахелье и сексоголик,0.6926519870758057,0.0,0.0
317,не знаю я пирсинг сама себе колола и уши мне в детстве дома кололи штопальной иглой,0.6926519870758057,0.0,0.14415885508060455
318,у нас выпало уже два снега,0.585111141204834,0.0,0.0
319,мудрость это искусство эффективного использования своего ума,0.7371681928634644,0.0,0.20690405368804932
320,у скупого ведь согласно пословице скупой платит дважды,0.0,0.0,0.287777841091156
321,ампутация,0.9993221759796143,0.0,0.0018775658681988716
322,красавчик в корею хочешь,0.23935934901237488,0.7981967926025391,0.0
323,кому другим некоторым очень плохо и тяжело а кому-то очень уютно и тепло,0.23371636867523193,0.0,0.59267657995224
324,растения с красными цветами привлекают энергию любви,0.0,0.16452647745609283,0.0
