N,question,answer,relevance
185,ты знаешь язык армянского народа,интуиция подсказывает мне,0
186,как получить всеобщее одобрение?,"нюхать ароматы и прислушиваться к ним, описывать ассоциации.",0
187,чего вам в жизни не хватает?,"с мыслями о том, что надо вечером обязательно пораньше лечь спать.",0
188,мы тебя тоже будем так называть,а я говорила что не нравится?,0
189,как твои дела там?,моя? моя в порядке а королевскую завтра буду печь,0
190,как вам мода на лосины?,"я рада что они снова в моде, мне кажется это очень стильно смотрится на стройных девушках",1
191,нажми чтобы найти песню,polly го,0
192,"родившись человеком, довольно сложно жить по специальности?",вот думаю. а не пойти-ли мне в гробовщики. нужная и востребованая профессия в наше подлое время.,1
193,можно ли верить гадалкам?,"конечно, и довести до ума тоже можно.",0
194,скрытность-это достоинство или порок?,"если не граничит с замкнутостью и не отпугивает людей, то однозначно достоинство",1
195,что делать если боишься летать,выйти замуж и расслабляться только сексом,0
196,но сейчас я хочу общаться именно с elezarasm,я сейчас растаю :,0
197,"бескорыстного действия, человек и любое другое существо, не в состоянии совершить?",все мы эгоисты в той или иной степени.,1
198,как сделать чтобы тело было видно четко а сзади все как будто розмыто я знаю есть такое на дорогих фотоапаратах?,"открыть полностью диафрагму, а выдержку уже подбирать по ней.",1
199,оказывают ли мысли какое-то влияние на нашу жизнь или это просто фантазии?,непосредственное. мыслями мы создаем свое будущее,1
200,ты даже ножки не кинула.,ну ты же кинул,1
201,как вы отличаете любовь от влюбленности?,никак. или ты принимаешь мужчину полностью или выбираешь другого привет,0
202,почему галкин не стареет?,потому что так о нем говорит библия совершенное слово божье.,0
203,"а если тя трахнуть и тебе не понравится, ты об этом скажешь напрямую, или тупо рожу скривишь?",тогда я тя сама трахну. или буш трахать пака не понравится. ага,1
204,а вы тоже боитесь за границу ехать?,я могу описать и квадратом.,0
205,почему после второй рюмки не бывает некрасивых женщин или мужчин?,"мужчина умнее, женщина хитрее. потому, что женщине ум заменяет хитрость.",0
206,в каких ситуациях можна почувствовать адреналин?,"боятся только мужчинки, а мужчину настоящего думаю трудно испугать.",0
207,как приобрести пневматический пистолет? какие нужны документы?,никаких. свободная продажа.,1
208,как удалить ненужную фотографию?,"на своей странице в самом низу, регламент, и опять вниз отказаться от услуг",0
209,что ты думаешь о науке,"да, собственно, ничего. а вы",0
210,так сколько шагов от любви до ненависти?,"востребованы, очень. все зависит от уровня их знаний и умений как и везде",0
211,"у вас есть какая-нибудь собственная теория, которой вы более менее постоянно придерживаетесь?",нет. у меня только практика.,1
212,какую валюту стоит покупать?,"я всегда стеснялась покупать. водку. и до сих пор никогда ее не покупаю. приветуль, вадь",0
213,ну фиг знает,еще б набить,0
214,почему некоторых мужчин так волнует первенство своей женщины,"практически все мужчины любят чистоплотных женщин. как и женщины любят чистоплотных мужчин. просто многие мужчины не понимают, что нужно быть чистоплотным для понравившейся девушки, мол и так полюбят. но некоторым не удается быть чистоплотным. я всегда стараюсь быть чистоплотным, но всегда чем-то пачкаюсь. хочу ли запачкаться или нет. поэтому наверное девушки обходят меня неженатого стороной.",0
215,и вам доброго,спасибо,1
216,сильный характер у женщины это награда или наказание?,"я думаю наказание, потому что такие женщины чаще других бывают одинокими.",1
217,это народная мудрость,гениальность - это способность создавать что-то принципиально новое,0
218,ну ладно. сама разберешься,"ну, да, разберусь",1
219,"мужчина, с каких игр лучше всего начинать с тобой","можно и с настольных, но лучше на скатерти, чтобы спину не застудила.",1
220,почему глупые люди так любят обсуждать чейто ум?,"пхаха, тебе тот же вопрос задам.",0
221,от вас больше проблем или пользы?,"русые, длинные, классные",0
222,душнила. а где шлюх?,пхахаха вчера еще шлюхом был,1
223,а че ты таскаешь всегда с собой?,сумку. даже сплю с ней,1
224,привет илюша !,"алиночка, приветульки",0
225,где она?,так их было на хате.,0
226,ущипнуть,,0
227,если вас поторопить. далеко убежите?,накроюсь ветошью и не буду отсвечивать бегаю я плохо,1
228,что такое романтика по вашему мнению и что для вас романтично?,для управления и блокирования трафика. для контроля доступа в интеренет.,0
229,"pollihloby, поля, харе спать!!!","у меня первый час и я кушаласейчас спать пойду, а чего надо, соскучилась?",1
230,"почему не открывается почтовый ящик, требует авторизации?","если не принимает логин с паролем, то очисти куки и запомненные пароли",1
231,в какие страны я могу поехать с водительским удостоверением нового образца?,"пока очень хочу в италию, чехию и испанию.",0
232,"почему люди лишь в старости лет, в здравом уме и хорошей памяти, становятся духовно развитыми?","не все. только те, кто задумался и отважился стать человеком.",1
233,ничего интересного. просто прошлые обиды дядьки в возрасте ведущего себя как подросток с юношеским максимализмом долбоебизмом в голове.,на тебя ктото обиделся?,1
234,"ну да, ты не знал что я кавказец? и живу в дагестане","а если путин скажет, что дагестан это исконно русские земли? и всю вашу культуру надо убирать то?",1
235,"я люблю всякое. соль, гель и т. д",ой ну соль это любовь прям,1
236,какие овощи добавить в летний салат?,"огурец, помидор, лук, петрушка, укроп. заправить подсолнечным или майнезом",1
237,"куда бы вы хотели попасть, но стесняетесь?",значит счастье не в деньгах,0
238,ужас,не так страшен черт как его малюют,1
239,расскажи что-нибудь,"в недалеком будущем вас ждут успехи, в том числе материальные",1
240,"так все таки, кто бог. мужчина или женщина?","я атеистпривет, корабельников",1
241,что можно приготовить только из яиц?,только отварить. в остальных блюдах нужно хотя бы маслоа еще можно пашот сделать.,1
242,может ли от обезвоживания менятся окрас листьев?,счастье - это состояние души. если она у вас светлая - значит счастье есть.,0
243,"вовсе нету меня простая работакстати, а кем ты трудишься?",ошибки исправляю,1
244,что чаще происходит в влюбленными? радость или печаль?,"сердце подскажет, если ты жить не можешь без него без взгляда, без улыбки. влюблена.",0
245,"а, ну если я начну танцевать придется им стать",вот не было и опять,0
